month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202503,34021,"mercer, nj",450000.0,0.0417,0.1253,497.0,0.2196,0.5678,29.0,-0.4369,-0.1212,384.0,0.5484,0.3151,8.0,0.3333,0.0,120.0,0.3333,1.0,436.0,0.0369,-0.1417,269.0,-0.0013,0.0924,1650.0,0.055,-0.0219,723244.0,0.0283,0.0999,921.0,0.1259,0.1245,0.8773,-0.1546,-0.7253,0.0
202503,34011,"cumberland, nj",299900.0,0.0019,0.1317,298.0,0.0438,0.2263,44.0,-0.2281,-0.0222,144.0,0.2414,0.0909,0.0,-1.0,-1.0,92.0,0.6429,0.4375,155.0,-0.0221,-0.1484,200.0,0.0128,0.0767,1508.0,-0.0026,0.0575,341804.0,0.0003,0.1466,456.0,0.0247,0.078,0.5201,-0.035,-0.2288,0.0
202503,34007,"camden, nj",339900.0,0.0073,0.0458,627.0,0.0727,0.2343,26.0,-0.2778,-0.1333,544.0,0.2891,-0.0073,16.0,0.0,-0.2,164.0,-0.0889,-0.0682,647.0,0.1872,-0.0401,217.0,0.0225,0.0979,1563.0,0.0055,0.0019,394468.0,0.0435,0.0874,1268.0,0.1388,0.0755,1.0319,0.0995,-0.2949,0.0
202503,34019,"hunterdon, nj",699000.0,0.0421,-0.0668,178.0,0.1266,-0.1721,32.0,-0.4182,-0.3043,132.0,0.2453,-0.0294,0.0,,,36.0,0.8,0.5,160.0,0.0922,-0.1489,301.0,-0.0088,0.0753,2522.0,0.0302,-0.0974,1052101.0,-0.0069,0.0706,334.0,0.1096,-0.1544,0.8989,-0.0283,0.0245,0.0
202503,34005,"burlington, nj",399000.0,0.0166,0.0237,681.0,0.1155,0.5584,26.0,-0.2917,-0.0893,556.0,0.3175,0.121,16.0,0.6,0.3333,200.0,0.2195,0.7857,662.0,0.123,-0.1018,236.0,-0.0007,0.0584,1722.0,0.0367,-0.0484,522959.0,0.0175,-0.0681,1336.0,0.1274,0.139,0.9721,0.0065,-0.7144,0.0
202503,34015,"gloucester, nj",369990.0,-0.0066,0.0364,453.0,0.026,0.2377,36.0,-0.1724,0.125,332.0,0.169,0.0,16.0,3.0,-0.4286,140.0,0.4,0.2963,461.0,0.0598,-0.0376,213.0,-0.0083,0.04,1740.0,0.004,0.0081,408973.0,0.0051,0.0121,916.0,0.0362,0.0726,1.0177,0.0324,-0.2911,0.0
202503,34031,"passaic, nj",513000.0,0.0281,0.0688,338.0,0.1028,0.0497,24.0,-0.2295,0.0217,284.0,0.4059,0.127,4.0,1.0,,44.0,0.375,0.375,225.0,0.0321,0.0321,305.0,0.0277,0.043,1735.0,0.0131,-0.0396,574938.0,0.0083,0.06,558.0,0.0877,0.0489,0.6657,-0.0456,-0.0113,0.0
202503,34003,"bergen, nj",799000.0,-0.0011,0.0,1016.0,0.0878,0.014,26.0,-0.2,-0.1034,756.0,0.277,0.0,8.0,-0.4286,0.0,124.0,0.24,0.4091,190.0,0.0468,0.0674,412.0,0.0081,0.0423,1880.0,-0.0175,-0.0918,1421659.0,-0.0247,0.0442,1194.0,0.0776,0.0188,0.187,-0.0073,0.0094,0.0
202503,34033,"salem, nj",312500.0,0.0121,0.0593,158.0,0.0533,0.0972,53.0,-0.1092,0.0,92.0,0.6429,0.2778,4.0,,0.0,48.0,-0.1111,1.0,99.0,-0.0435,-0.1,178.0,-0.0551,-0.021,1802.0,0.0174,0.0852,405121.0,0.0351,0.1037,257.0,0.0039,0.0198,0.6266,-0.0634,-0.1373,0.0
202503,34001,"atlantic, nj",409000.0,0.0226,0.0679,1057.0,0.1132,0.2435,46.0,-0.2137,-0.1154,468.0,0.1304,0.2447,40.0,0.6667,0.6667,248.0,0.3478,0.5897,524.0,0.1043,-0.1058,264.0,0.0268,0.0491,1535.0,-0.01,0.0257,737384.0,0.0033,0.0571,1569.0,0.1179,0.1057,0.4957,-0.004,-0.1937,0.0
202503,34013,"essex, nj",580000.0,0.0547,0.0943,643.0,0.1067,0.1712,31.0,-0.0606,0.069,556.0,0.3495,0.2193,12.0,0.0,-0.25,72.0,0.0588,0.2857,428.0,0.1552,-0.0273,328.0,-0.0174,0.0078,2132.0,0.0746,0.066,937864.0,0.0263,0.0992,1047.0,0.1294,0.0872,0.6656,0.0279,-0.1358,0.0
202503,34009,"cape may, nj",849000.0,0.0266,-0.0766,848.0,0.0803,0.068,52.0,-0.2973,-0.0714,372.0,0.2318,0.2078,20.0,1.5,1.5,192.0,0.6552,0.4118,431.0,0.2547,0.0748,674.0,0.0079,0.0003,1651.0,0.0129,-0.0288,1528766.0,0.0396,-0.0638,1270.0,0.1289,0.0637,0.5083,0.0707,0.0032,0.0
202503,34025,"monmouth, nj",849450.0,0.0056,0.0298,1118.0,0.1208,0.021,36.0,-0.3077,-0.0769,752.0,0.2533,-0.0053,8.0,0.0,-0.7143,212.0,0.5588,0.2326,1071.0,0.118,-0.0671,405.0,0.0162,0.0169,2026.0,0.0041,0.0593,1331152.0,-0.0158,0.0682,2174.0,0.1244,-0.0242,0.958,-0.0024,-0.0904,0.0
202503,34039,"union, nj",599000.0,-0.0017,0.0891,424.0,0.1877,0.0761,25.0,-0.1552,-0.02,396.0,0.2,0.0206,12.0,2.0,2.0,52.0,0.1304,0.1818,380.0,0.2358,-0.0428,370.0,0.001,0.0511,1924.0,-0.1293,0.0212,774713.0,0.0001,0.057,798.0,0.2109,-0.0025,0.8962,0.0349,-0.1114,0.0
202503,34027,"morris, nj",699900.0,0.0331,0.0013,470.0,0.138,0.0398,22.0,-0.2787,-0.0833,464.0,0.5467,-0.0085,4.0,-0.3333,,56.0,0.0769,-0.125,470.0,0.1059,-0.0856,338.0,-0.0109,0.0477,2500.0,0.0105,-0.0782,992313.0,0.0313,0.0157,935.0,0.1158,-0.0517,1.0,-0.0291,-0.1372,0.0
202503,34023,"middlesex, nj",541000.0,0.0218,0.0505,891.0,0.1075,0.2656,30.0,-0.2053,0.0714,604.0,0.2797,0.0272,16.0,0.6,0.0,148.0,0.0571,0.4231,859.0,0.0867,0.0047,338.0,0.0187,0.0949,1618.0,0.0109,-0.0349,606524.0,-0.0025,0.0435,1700.0,0.0957,0.1206,0.9641,-0.0185,-0.2504,0.0
202503,34029,"ocean, nj",599900.0,0.0256,0.0599,1694.0,0.0804,0.0936,38.0,-0.1915,-0.0256,1012.0,0.3041,0.0675,16.0,-0.2727,-0.2,424.0,0.3766,0.325,1296.0,0.1793,-0.1087,320.0,0.0021,0.0361,1814.0,0.0407,0.0208,922718.0,0.0534,0.0002,2975.0,0.1273,-0.0017,0.7651,0.0642,-0.1736,0.0
202503,34037,"sussex, nj",399950.0,0.0,0.0001,313.0,0.083,-0.0032,39.0,-0.23,0.2419,220.0,0.5278,0.0185,4.0,1.0,0.0,44.0,-0.0833,0.1,198.0,0.0588,-0.1681,261.0,-0.0031,0.0802,1820.0,-0.0459,0.0179,557960.0,-0.0267,0.1625,509.0,0.0649,-0.0829,0.6326,-0.0145,-0.1254,0.0
202503,34041,"warren, nj",407450.0,0.0188,0.0199,182.0,0.0997,0.0706,32.0,-0.3436,-0.0154,128.0,0.3617,0.0,0.0,-1.0,-1.0,28.0,0.0769,0.1667,114.0,-0.0172,-0.1739,228.0,-0.0083,0.0617,2086.0,0.0443,0.0225,508994.0,0.0561,0.0061,288.0,0.0341,-0.04,0.6264,-0.0745,-0.1854,0.0
202503,34017,"hudson, nj",635000.0,0.0367,-0.0231,882.0,0.1359,0.1308,37.0,-0.103,-0.1395,524.0,0.3936,0.3936,12.0,0.5,0.0,140.0,0.3725,0.8421,576.0,0.0868,-0.0929,573.0,0.0312,-0.0406,1110.0,0.0091,-0.0098,766026.0,-0.0047,-0.0624,1439.0,0.1207,0.036,0.6531,-0.0295,-0.161,0.0
202503,34035,"somerset, nj",675000.0,0.0433,0.0467,349.0,0.0958,0.048,27.0,-0.234,0.1739,308.0,0.2623,0.0,0.0,-1.0,,48.0,1.4,0.5,356.0,0.2875,0.0595,332.0,-0.0006,0.0529,1944.0,0.0699,-0.1208,974677.0,0.0298,-0.0314,690.0,0.1897,0.0518,1.0201,0.1519,0.011,0.0
202502,34013,"essex, nj",549924.0,-0.0056,0.0998,581.0,0.0497,0.1632,33.0,-0.3654,0.082,412.0,0.241,0.1381,12.0,,0.5,68.0,0.3077,0.1333,371.0,0.1578,0.0095,334.0,0.0205,0.0694,1984.0,0.0685,0.0859,913789.0,-0.0084,0.1382,927.0,0.1095,0.0957,0.6377,0.0596,-0.097,0.0
202502,34033,"salem, nj",308750.0,-0.0071,0.1198,150.0,-0.0991,0.0753,60.0,-0.15,-0.2632,56.0,-0.2632,-0.2632,0.0,-1.0,-1.0,54.0,0.125,0.08,104.0,0.1695,0.0248,188.0,-0.0134,0.0422,1771.0,-0.0211,0.0719,391400.0,-0.0116,0.0926,256.0,-0.0019,0.0689,0.69,0.1585,-0.034,0.0
202502,34031,"passaic, nj",499000.0,-0.0143,0.0423,307.0,-0.0641,0.0268,31.0,-0.2561,-0.1029,202.0,0.0521,-0.1789,2.0,0.0,,32.0,-0.0588,0.0,218.0,-0.0522,0.1094,297.0,-0.0839,0.0272,1713.0,0.0316,-0.0946,570200.0,0.0152,0.0866,513.0,-0.0579,0.0545,0.7113,0.009,0.053,0.0
